ChurnKey;CustomerKey;DateKey;LocalisationKey;ServiceKey;CustomerID;Gender;Age;MaritalStatus;City;State;MonthlyCharge;Contrat;PaymentMethod;Satisfaction_score;ChurValue;CustomerStatus;ChurnScore;ChurnCategory;CLTV;PhoneService;MultipleLines;InternetService;InternetType;StreamingTV;StreamingMovies;StreamingMusic;OnlineSecurity;DeviceProtection;SubscriptionDate;SubsciptionMonths;SubscriptionQuarter;ChurnDate
1;1;1194;770;4007;0002-ORFBO;Female;37;Yes;Frazier Park;California;65,599998474121094;One Year;Credit Card;3;0;Stayed;65;;2205;1;0;1;Cable;1;0;0;0;0;2020-04-05;4;Q2;
2;2;1192;871;4789;0003-MKNFE;Male;46;No;Glendale;California;59,900001525878906;Month-to-Month;Credit Card;5;0;Stayed;66;;5414;1;1;1;Cable;0;1;1;0;0;2020-04-03;4;Q2;
3;3;1196;1161;1902;0004-TLHLJ;Male;50;No;Costa Mesa;California;73,900001525878906;Month-to-Month;Bank Withdrawal;1;1;Churned;71;Competitor;4479;1;0;1;Fiber Optic;0;0;0;0;1;2020-04-07;4;Q2;2020-09-15
4;4;1231;331;396;0011-IGKFF;Male;78;Yes;Martinez;California;98;Month-to-Month;Bank Withdrawal;1;1;Churned;91;Dissatisfaction;3714;1;0;1;Fiber Optic;1;1;0;0;1;2020-05-12;5;Q2;2020-07-13
5;5;1189;221;369;0013-EXCHZ;Female;75;Yes;Camarillo;California;83,900001525878906;Month-to-Month;Credit Card;1;1;Churned;68;Dissatisfaction;3464;1;0;1;Fiber Optic;1;0;0;0;0;2020-03-31;3;Q1;2020-09-23
6;6;1222;594;3310;0013-MHZWF;Female;23;No;Midpines;California;69,400001525878906;Month-to-Month;Credit Card;3;0;Stayed;55;;5108;1;0;1;Cable;1;1;1;0;0;2020-05-03;5;Q2;
7;7;1184;566;708;0013-SMEOE;Female;67;Yes;Lompoc;California;109,69999694824219;Two Year;Bank Withdrawal;3;0;Stayed;26;;5011;1;0;1;Fiber Optic;1;1;1;1;1;2020-03-26;3;Q1;
8;8;1231;49;4226;0014-BMAQU;Male;52;Yes;Napa;California;84,650001525878906;Two Year;Credit Card;4;0;Stayed;49;;4604;1;1;1;Fiber Optic;0;0;0;1;0;2020-05-12;5;Q2;
9;9;1264;557;696;0015-UOCOJ;Female;68;No;Simi Valley;California;48,200000762939453;Two Year;Bank Withdrawal;3;0;Stayed;34;;5525;1;0;1;DSL;0;0;0;1;0;2020-06-14;6;Q2;
10;10;1218;77;5576;0016-QLJIS;Female;43;Yes;Sheridan;California;90,449996948242188;Two Year;Credit Card;3;0;Stayed;25;;5509;1;1;1;Cable;1;1;1;1;1;2020-04-29;4;Q2;
11;11;1237;1380;3819;0017-DINOC;Male;47;No;Rancho Santa Fe;California;45,200000762939453;Two Year;Credit Card;4;0;Stayed;54;;5435;0;0;1;Cable;1;0;0;1;0;2020-05-18;5;Q2;
12;12;1270;920;5247;0017-IUDMW;Female;25;Yes;Sunnyvale;California;116,80000305175781;Two Year;Credit Card;3;0;Stayed;52;;6252;1;1;1;Fiber Optic;1;1;1;1;1;2020-06-20;6;Q2;
13;13;1178;983;5615;0018-NYROU;Female;58;Yes;Antelope;California;68,949996948242188;Month-to-Month;Bank Withdrawal;3;0;Stayed;57;;5536;1;0;1;Fiber Optic;0;0;0;0;0;2020-03-20;3;Q1;
14;14;1138;1144;3791;0019-EFAEP;Female;32;No;La Mesa;California;101,30000305175781;Two Year;Bank Withdrawal;3;0;Stayed;53;;5513;1;1;1;Fiber Optic;1;0;0;1;1;2020-02-09;2;Q1;
15;15;1193;450;5132;0019-GFNTW;Female;39;No;Los Olivos;California;45,049999237060547;Two Year;Bank Withdrawal;3;0;Stayed;37;;5795;0;0;1;DSL;0;0;0;1;1;2020-04-04;4;Q2;
16;16;1203;446;4035;0020-INWCK;Female;58;Yes;Woodlake;California;95,75;Two Year;Credit Card;5;0;Stayed;26;;4865;1;1;1;Fiber Optic;0;1;1;0;1;2020-04-14;4;Q2;
17;17;1270;248;6393;0020-JDNXP;Female;52;Yes;Point Reyes Station;California;61,25;One Year;Credit Card;4;0;Stayed;37;;3607;0;0;1;DSL;1;1;1;1;1;2020-06-20;6;Q2;
18;18;1332;384;509;0021-IKXGC;Female;72;No;San Marcos;California;72,099998474121094;One Year;Bank Withdrawal;4;0;Joined;50;;4432;1;1;1;Fiber Optic;0;0;0;0;0;2020-08-21;8;Q3;
19;19;1229;132;161;0022-TCJCI;Male;79;No;Daly City;California;62,700000762939453;One Year;Credit Card;1;1;Churned;92;Dissatisfaction;2654;1;0;1;DSL;0;1;0;1;1;2020-05-10;5;Q2;2020-07-01
20;20;1149;250;289;0023-HGHWL;Male;67;No;Morgan Hill;California;25,100000381469727;Month-to-Month;Bank Withdrawal;3;1;Churned;85;Competitor;5437;0;0;1;Cable;0;0;0;0;0;2020-02-20;2;Q1;2020-09-26
21;21;1158;571;716;0023-UYUPN;Female;79;Yes;Ahwahnee;California;25,200000762939453;One Year;Bank Withdrawal;3;0;Stayed;61;;4015;1;1;0;None;0;0;0;0;0;2020-02-29;2;Q1;
22;22;1275;1232;2448;0023-XUOPT;Female;26;Yes;Carnelian Bay;California;94,099998474121094;Month-to-Month;Bank Withdrawal;1;1;Churned;75;Other;2973;1;1;1;Fiber Optic;1;0;0;0;1;2020-06-25;6;Q2;2020-07-14
23;23;1242;29;6129;0027-KWYKW;Female;30;Yes;Alpaugh;California;83,75;Month-to-Month;Bank Withdrawal;4;0;Stayed;78;;3585;1;1;1;Fiber Optic;1;0;0;0;0;2020-05-23;5;Q2;
24;24;1366;776;3024;0030-FNXPP;Female;22;No;Keeler;California;19,850000381469727;Month-to-Month;Credit Card;4;0;Joined;59;;5634;1;0;0;None;0;0;0;0;0;2020-09-24;9;Q3;
25;25;1215;968;1406;0031-PVLZI;Female;34;Yes;Korbel;California;20,350000381469727;Month-to-Month;Credit Card;1;1;Churned;81;Price;4133;1;0;0;None;0;0;0;0;0;2020-04-26;4;Q2;2020-09-30
26;26;1238;648;2518;0032-PGELS;Female;37;Yes;Palomar Mountain;California;30,5;Month-to-Month;Bank Withdrawal;1;1;Churned;74;Attitude;5171;0;0;1;DSL;0;0;0;1;0;2020-05-19;5;Q2;2020-08-08
27;27;1206;232;3063;0036-IHMOT;Female;37;Yes;Parlier;California;103,69999694824219;One Year;Bank Withdrawal;3;0;Stayed;65;;5892;1;0;1;Fiber Optic;1;1;1;0;1;2020-04-17;4;Q2;
28;28;1244;1202;3314;0040-HALCW;Male;42;Yes;Modesto;California;20,399999618530273;Two Year;Credit Card;4;0;Stayed;60;;6393;1;0;0;None;0;0;0;0;0;2020-05-25;5;Q2;
29;29;1248;488;6514;0042-JVWOJ;Male;64;No;Glen Ellen;California;19,600000381469727;One Year;Bank Withdrawal;4;0;Stayed;26;;3722;1;0;0;None;0;0;0;0;0;2020-05-29;5;Q2;
30;30;1108;1094;3369;0042-RLHYP;Female;47;Yes;Eureka;California;19,700000762939453;Two Year;Bank Withdrawal;5;0;Stayed;76;;4131;1;0;0;None;0;0;0;0;0;2020-01-10;1;Q1;
31;31;1233;1474;3109;0048-LUMLS;Male;23;Yes;Moss Beach;California;91,199996948242188;One Year;Credit Card;5;0;Stayed;55;;5263;1;0;1;Fiber Optic;1;1;1;0;0;2020-05-14;5;Q2;
32;32;1246;998;6796;0048-PIHNL;Female;48;Yes;Los Angeles;California;20,450000762939453;One Year;Bank Withdrawal;3;0;Stayed;20;;6061;1;0;0;None;0;0;0;0;0;2020-05-27;5;Q2;
33;33;1242;2;5758;0052-DCKON;Male;28;Yes;Los Angeles;California;115,80000305175781;One Year;Bank Withdrawal;3;0;Stayed;42;;5845;1;1;1;Fiber Optic;1;1;1;1;1;2020-05-23;5;Q2;
34;34;1191;421;7018;0052-YNYOT;Female;28;No;Calexico;California;20,549999237060547;One Year;Bank Withdrawal;5;0;Stayed;72;;5462;1;0;0;None;0;0;0;0;0;2020-04-02;4;Q2;
35;35;1113;1592;5661;0056-EPFBG;Male;33;Yes;Redding;California;39,400001525878906;Two Year;Credit Card;3;0;Stayed;29;;3899;0;0;1;Cable;0;0;0;1;1;2020-01-15;1;Q1;
36;36;1159;693;6411;0057-QBUQH;Female;31;No;San Martin;California;25,100000381469727;Two Year;Bank Withdrawal;4;0;Stayed;59;;4797;1;1;0;None;0;0;0;0;0;2020-03-01;3;Q1;
